signal_date,structure,hold_sessions,status,reason,entry_date,exit_date,expiration,legs,net_entry_usd,net_exit_usd,risk_usd,pnl_usd,return_on_risk
2009-09-25,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-10-01,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-10-02,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-10-23,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-10-26,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-10-27,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-11-03,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-11-27,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-12-17,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-12-31,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-01-21,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-01-26,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-04-19,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-04-28,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-05-04,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-05-05,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-09-23,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-12,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-15,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-16,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-17,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-23,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-30,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-01-28,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-02-22,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-02-23,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-02-24,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-03-10,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-05-04,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-05-05,call_debit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
